id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level,review 1,review 2,review 3,review 4,review 5
ChIJl9NSoZVB0i0RmkW-5nyvEDI,Prama Sanur Beach Hotel Bali,-8.7094607,115.25646619999999,"Jalan Cemara Sanur, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",https://maps.google.com/?cid=3607576252505802138,OPERATIONAL,+62 361 288011,hotel,"hotel, lodging",4.5,4763,,"The room itself was spacious, clean, and well-appointed. The bed was extremely comfortable, and the linens were fresh and luxurious. I appreciated the little touches, like the complimentary bottled water and the selection of teas and coffees. The view from the window was stunning, overlooking the beautiful city skyline.

One of the highlights of my stay was the hotel's dining options. The breakfast buffet was extensive, with a wide variety of fresh and delicious choices. I also dined at the hotel restaurant for dinner, and the food was exceptional. The service in the restaurant was top-notch, with the staff being both knowledgeable and friendly.","Hotel Prama offers an excellent stay with luxurious rooms, outstanding service, and top-notch amenities. The spacious, clean rooms feature comfortable beds, modern amenities, and high-quality toiletries. The staff is professional and friendly, ensuring a smooth check-in process. Dining options are diverse and delicious, with a wide breakfast buffet and exquisite restaurant meals. The hotel’s prime location makes it convenient for exploring the city. Overall, Hotel Prama provides a memorable and superior hotel experience. Highly recommended!","I had an amazing stay at this hotel! The staff were incredibly friendly and went out of their way to make sure we were comfortable. The rooms were spacious, clean, and beautifully decorated. The amenities were top-notch, especially the pool and fitness center. The location was perfect, close to major attractions and public transportation. I highly recommend this hotel to anyone looking for a great experience.","Wonderful accommodation for a great price, the resort grounds were beautiful and extremely well maintained,  the room was immaculately clean and the views of Sanur Beach were spectacular from our balcony. There are multiple lifts to choose from for easy accessibility to all amenities, the pool was huge and well maintained and the buffet breakfast was delicious with a huge selection to choose from. The location was great with plenty of shops and cafes/restaurants within walking distance and the staff were very friendly and helpful.  I will be back again and highly recommend The Prama to everyone.","I went with my family to Prama Sanur and it had everything we needed! Rooms were spacious and staff were attentive to our requests. We appreciated the variety of restaurants they had on-site (the Italian one of the beachfront was a favorite) so it didn’t get tiring. The live band on the beach near to Bamboo Bar was also a plus to the ambiance. Best of all, it’s located on the beachfront of a more quiet and calm part of Sanur. Lots of things to see and do within walking distance. Highly recommend them also for events!"
ChIJmzm6KBhE0i0Rd5gcl0xg6MY,Mercure Resort Sanur,-8.7093075,115.25406339999998,"Jl. Mertasari, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",https://maps.google.com/?cid=14332811696175618167,OPERATIONAL,+62 361 288833,hotel,"hotel, lodging",4.6,3641,,"I really don’t like giving negative reviews, but found that my experience from my recent stay at the Mercure in Sanur, did not reflect other people’s experiences.
Checking in was great and we were thankful to get into our room early.
We had booked our accommodation through Scoopon (Luxury Escapes). We had booked 2 rooms due to the size of our family, unfortunately these were not able to be interconnected, which would have been nice to have been notified of this prior to booking. We made do!
What I was disappointed with was the attitude and friendliness of some of the hospitality staff. We were meant to have 2x dinners included in our package. We decided to use one of the included dinners on our first night. We arrived at the restaurant at 6pm, there was no one around except the hostess. She seemed annoyed at us for coming there for dinner! We were shown a very small limited menu that we were able to choose from, which was just okay… I asked to look at a drinks menu, this seemed like another inconvenience! I then asked to order drinks and she said, no, I take your meal order first. To be honest she was quite rude and I was really taken aback.
We also had cocktails included, instead of a normal/popular cocktail list, they were very basic, unimaginative cocktails! I was quite disappointed.
Staff in general seemed quite unhappy and I really wonder about the management and the way they are treated.
Our housekeeping staff were great, very happy with their service and friendliness.
Rooms are very tired and worn and I do understand it is not a 5 star hotel. Unfortunately the water pressure was very poor to our upstairs room and on some instances we had no hot water.
I loved the location on the beach and the overall appearance of the grounds is lovely. Kids also had a great time in the big pool.
I think there are better options in Sanur and we will stay somewhere else next time.","The gardens throughout the resort are so beautiful and there's a real tranquil feel. Everyone is always so friendly. The pools are nice and plenty of chairs and lounges. Cocktails and other drinks are delicious, although slightly pricey (but expected in a resort).
We had to ask a couple of times to get an extra sheet, towel and bin for our 2 year old but other than that, service is good.","The service from the front office/receptionist to room service is friendly and satisfying. The facilities are complete and good, especially the swimming pool.
The location is very strategic, in the afternoon you can play on the beach and the sunset is also very eye-catching with a really good view that spoils the eyes. The food at breakfast is all delicious and varied.","We didn’t stay at the resort but came in for the seafood banquet. This was advertised as being available from 6:00 to 9:00pm, however when we arrived at 7:00pm we only got remnants of the food. Balinese dancing was very good but just a bit disappointed about the food. I would advise to get there early!","A breathtaking experience in Mercure. The location is absolutely top notch. They have a private beach area. Although the beach is not good for swimming, but you can relax and soak the sun in plenty.

The resort is so big that we couldn't see all it's parts. There are two pools which are well maintained. Although we couldn't find the showers in Sahadewa pool so couldn't dip.

The food options need improvements with more vegetarian options.

I dint have breakfast so can't comment on that

The staff is absolutely lovely. They greet you with genuine smile everytime. They epitomize Bali people in general. Will surely visit again when I need a hotel in South Bali."
ChIJOehHOJVB0i0RqbKxwB9cN9c,Puri Santrian Beach Resort & Spa,-8.7088128,115.25846569999997,"Jl. Cemara No.35, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",https://maps.google.com/?cid=15507965133320204969,OPERATIONAL,+62 361 288009,resort_hotel,"resort_hotel, wedding_venue, hotel, lodging, event_venue",4.5,3031,,"The hotel is beautiful. It has lush foliage, beautifully landscaped, plenty of lovely places to lounge and relax. The food is wonderful. The breakfast has everything one needs. The dinners were fabulous. I ate my way through the menu. Everyone staff member was gracious and accommodating. They went out of their way to help me resolve some challenges. The spa was a bargain. I enjoyed 2 1/2 hour worth of treatments. I was in a giddy state of bliss afterward.","Great location, standard rooms are a bit dated but still nice. Newer exec premium rooms are nice and spacious with good bathrooms and a great communal pool.
Food is ok/good, buffet breakfast is 5/10 and dinner has improved from years gone by (been staying at this hotel for many years now).
Great pools and beach access for kids and close proximity to shops and cafes.","The location is perfect, the hotel looks amazing. The bathroom could do with a good clean to get rid of the mould in areas.
Pools and gardens are beautiful and well maintained.
Service was very good if not a bit slow at times but always with a smile.
Big let down was the beach, you can't stop nature bringing in seaweed but it came with so much rubbish and not cleaned up at all in time we were there.
Not just this hotel but all businesses along the beach front should maintain the beaches and keep them clean.","The scenery at the hotel is really stunning, with mature indigenous trees, serious attention to the grounds, and plentiful Hindu Statues to accent Balinese culture. The hotel attracts mature Europeans and Aussies, perhaps groups. I traveled alone and I do think your vibe and the vibe of the guests that  a hotel attracts does matter. The staff overall attended to any concerns I had with care and consideration. The rooms are truly lovely, and I recommend the premier deluxe, second or third floor. Lots of closet and drawer space! The coffee is excellent too. One staff member that stands out was Sonia.  She provided advice prior to my stay, and continued to guide me from arrival to departure. Sanur has gotten very busy especially at night, so having a nice room was very appreciated.","Puri Santrian is a fantastic resort.
We had a couple of teething issues on the first day and the resort staff solved them as quickly and painlessly as they could. Highly commend them for how they handled themselves and us!
Great breakfast buffet, excellent meals
from the restaurant and great coffee. Really great coffee.
Thankyou"
ChIJr8xsnJZB0i0Rxh1Lw0w3rjI,Genius Cafe Sanur,-8.711474899999999,115.2537991,"Jl. Kusuma Sari, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",https://maps.google.com/?cid=3651917150677573062,OPERATIONAL,+62 822-3694-4873,cafe,"cafe, vegetarian_restaurant, restaurant, food",4.4,2083,PRICE_LEVEL_MODERATE,"This is a large open cafe near the southwest end of Sanur Beach. They have covered seating section as well as a handful of tables setup on the beach as well. They have really nice vibes, casual and relaxed setup and offer a wide range of traditional western breakfast, lunch and dinner items. Prices similar to what you find at other eateries along the promenade that runs the length of the Sanur beachfront area.

We had lunch here during our recent stay in Sanur. Pepperoni pizza was decent. Crust a bit softer than we like, probably could have used another couple minutes in the oven. Cheese, tomato sauce and pepperoni toppings were alright. Buddha bowl was a nice green dish with fresh veg and tempeh. We also liked the chocolate brownie dessert.","Our fav spot to dine in Sanur! Fresh, tasty, good quality food and friendly service. We love that they cater to all requirements and have many vegetarian and vegan options. Beautiful location and very chilled out.","Part of Mercury, I believe… but at sunset time is a bit undersatffed and yup you have to wait to be seated or waited for food. Quite surprised it had a high rating. Food is okay. Happy hour for beer is just Bali Hai, nothing special at all.","I like being here and working on the computer all day. There's always a light breeze so it's not super hot. The food is good and the coffee tastes good too.

In the evening you can sit outside on the beach and enjoy the dusk.

They have normal and fast WiFi. For the faster one you have to ask.",Chilled beach cafe with amazing quality food. Away from the crowds and big hotels further up Sanur beach. Loved the cool sea breeze and live music in the evening. Falafel bowl amazing.
ChIJg_UKXL5B0i0RG1yXu705PfM,Taksu Sanur Hotel,-8.705838199999999,115.25594930000001,"Jl. Sudamala No.26, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",https://maps.google.com/?cid=17527228811854699547,OPERATIONAL,+62 361 283401,hotel,"hotel, lodging",4.4,856,,"It's a decent hotel but I think if you come to Bali you expect a bit more of a boutique vibe. 1/2 floors max, a nice open feeling. This hotel has a bit of an ""all inclusive"" feeling to it. Decent pool but only a handful of sunbeds which are always taken, way too few for all their rooms spread over 4 floors. Average breakfast. Only 1 water drinking station and a weird signing out and in of pool towels from reception to your room?Gives a really stingy feel to the hotel, no one wants to steal a second hand pool towel. Just make a pile for people to use. I think there is a lot better to use in the surrounding area. It is in a nice location though",Hotel and staff great except for motorbike 🛵 in morning and lat at night. Breakfast was actually good for a hotel but dinner was not. Spaghetti was very dry and no sauce. Need more fruit choices. The area is a little far from beach. The beach was disappointing full of rubbish and to many bicycle 🚲,"Wonderful Stay with Exceptional Service!

I recently had the pleasure of staying at this hotel, and I must say it exceeded my expectations in every way. The ambiance was delightful, and my room was not only comfortable but also tastefully decorated.

What truly set this hotel apart was the outstanding service provided by the staff. From the moment I checked in, the employees were incredibly friendly and went out of their way to ensure I had a pleasant stay. Their attentiveness and willingness to assist with any request made me feel truly valued as a guest.

The hotel's amenities were top-notch, and the attention to detail in maintaining cleanliness was evident throughout. The complimentary breakfast was a delightful start to each day, featuring a variety of options to suit every taste.

I highly recommend this hotel to anyone seeking a memorable and enjoyable stay. Kudos to the staff for their exceptional hospitality—I will definitely be returning on my next visit to the area!","Rooms are big, with nice working area, big bed, nice ensuite bathroom, with strong shower, all kept clean, with plenty of hanging space plus a laptop size safe.

The flip side is the smell of kitchens nearby which sometimes can be smelt inside the room - just ensure your room at the front or left side. The front door locking system is very annoying",Nice hotel with pleasant helpful staff. Loved their breakfast. Rooms are spacious. Hugh double bed!
ChIJ31h0RL5B0i0RJlSgjje1WCc,"Sudamala Resort, Sanur",-8.707724299999999,115.2561283,"Jl. Sudamala No.20, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80227, Indonesia",https://maps.google.com/?cid=2835215215650427942,OPERATIONAL,+62 361 288555,resort_hotel,"resort_hotel, hotel, lodging",4.6,744,,"Very nice staff, and great location. Special thanks to front office team who let us use shower facilities after our check out on our day of departure to the airport. They offer bicycles which is probably the best way to
discover the area.

Breakfast was worth trying, really good quality. I also liked the large number of beautiful arts, paintings and sculptures smoothly blending into this amazing environment.

Great hotel, I’d stay again here if I’m in Sanur.",What a wonderful experience. We stayed at this resort in Sanur for five days and couldn’t fault it. The staff were so obliging and polite. We had a cookery class which was good fun and the meal was delicious. We also had a Bali massage which was simply wonderful. The hotel is beautifully furnished and very clean. The grounds and swimming pool lovely. We highly recommend this resort and would love to stay again.,Absolutely exceeds all expectations. Room was amazing! The staff is so nice and goes over the top to do whatever they can to help. We love all the special touches they do throughout the stay. It was very nice to be pampered for a few days. The pool is very nice. The yoga studio in the spa is very cute. The on-site restaurant is also so amazing. All the food we had here was very good. They have good things for everything from snacks to dessert!,"Perfect place for those looking for a peaceful place with traditional Balinese vibe and a hint of colonial touch. The service is great, they were even very accommodative to my elderly family members.
Its also a great value, for what you get I think the price is on the lower side.",We did not like the hotel. The rooms were not clean. The bathroom was super dirty and smelled bad. The bedsheets were dirty and had blood on them. The room we stayed in has a hide headboard attached to the bed and when walking to the bathroom I hurt my toe very badly because it’s dangerously placed. Not safe for children especially. Breakfast was delicious but that was the only good point. We don’t recommend it
ChIJh9uC0v9B0i0RuCJbwY_xln4,Hanoi by MeVui,-8.7078389,115.258003,"Jl. Cemara No.33, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",https://maps.google.com/?cid=9121743695012111032,OPERATIONAL,+62 811-3851-7788,vietnamese_restaurant,"vietnamese_restaurant, restaurant, food",4.5,648,PRICE_LEVEL_MODERATE,I have been to all the Mevui in Bali except this one in Sanur. Service was unusually slower compare to other outlets and we were super hungry but then food arrives well served and ease made it all the wait worthy. No complain here.,Took in all the other reviews and glad I did. Decided to try the fresh spring rolls and was not disappointed. All washed down with a Spicy Hue. Sort of a pineapple and orange slushy but has chilli flakes sprinkled on top - weird but actually quite tasty. Quality and price of food is good as is the service. More items on menu to try next visit before I go home,"Quiet descent Vietnamese food. Noodles, broken rice, rolls. They have 3 diff size bowls for noodles. Prep time is standard. Walking distance from Hyatt Regency Hotel Sanur. Place is clean, quiet (not noisy) and easy to find.",One of my favorite restaurant in Sanur! My favorite menu is BM Pork n springroll! But all the foods taste good.,"Sadly the quality of this place has gone down in Sanur. The last time I was there the staff forgot my drink after 2 reminders and still tried to charge me . Most recently the pho was way off from the photo. The broth was good but the meat was nothing as advertised. We complained and we weren't charged which is appreciated. This was a day after Nyepi which is more or less understandable if supplies are low but if you dont have the proper inventory dont tried to sell a halfbaked version of the menu. Also the same bowl of pho had a large thick strand of hair. To the owner, stay on top of your staff because they are impacting your businesses negatively for customers who live in Bali and come often."
ChIJrTRyML5B0i0R1XtCFxQAT6k,Akana Boutique Hotel,-8.7071513,115.25627420000001,"Jl. Sudamala No.19, Sanur, Denpasar Selatan, Kota Denpasar, Bali, Indonesia",https://maps.google.com/?cid=12199970001859541973,OPERATIONAL,+62 361 4721917,hotel,"hotel, lodging",4.4,520,,"Akana Boutique Hotel was everything we asked for. The room was very nice, with good aircon and black-out curtains. The bed was very comfy and we had the best sleeps. The staff was very friendly and kind the whole time we stayed there. The room service was good too. The pool area was very inviting and claiming. The whole atmosphere was feeling like you were in a 5 star hotel. We will definitely stay there again, next time we go to Bali.","Great service and staff! The location is a bit far to the beach, but bike is provided for free if available.

Nice neighborhood with many cool shops, spas and restaurants.

The hotel breakfast option is quite limited but if you don’t stay for long period that’s ok.","As a boutique hotel, this is a very good one. The location is quiet and close to many restaurants/warung and within walking distance to the beach. The room we had on the 2nd floor was well appointed and spacious overlooking the pool. The staff were very accommodating trying to make our stay as pleasurable as possible.","Great value for money!! I have stayed here many times now, the staff are very helpful and go out of their way to help, shout out to Putu who helped me and my family around.

The pool is so refreshing, it is like a little oasis. Room is very clean and aircon is cold. Breakfast is excellent with many dishes depending on how you are feeling the French toast was especially good along with the fresh fruits of Bali. They have sun beds on the beach which is close, around 5 min away! I will be back!","Stayed here for two nights and the staffs were wonderful. The receptionist, the hotel manager, the restaurant manager, and all the staffs are very friendly.
Best value for money. Located within walking distance to the beach. They have designated area on the beach side with staff appointed there, but unfortunately I didnt have the chance to try it. Will definitely stay here again for the next visit. Thank you, Akana! ♥️"
ChIJzWAV0ZZB0i0RIqTbVoafMQA,Signature Hotel Sanur,-8.705574799999999,115.2538968,"Jl. Danau Poso No.65, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",https://maps.google.com/?cid=13967673190491170,OPERATIONAL,+62 361 3350353,hotel,"hotel, lodging",4.2,139,,"Large clean room, a few stains on the linens that look as though they had been scrubbed.

A power socket either side of the bed, but nothing near the desk or anywhere else useful.

I had food delivered, and asked for a fork and spoon, the best they could give was a plastic spoon, and the restaurant on the ground floor would not lend.

It is a basic hotel. Only real upside was great welcoming staff, who tried hard to please.",We moved here after leaving a horrifically cheap and dirty hotel 5 mins away and were initially really happy/relieved and it is value for money BUT we did have hair left on the floor of the bedroom/shower which was gross and one morning we were woken up at 1am for over half an hour with banging and “music” from the temple across the road. Called reception and was just told it is what it is. Not ideal!! Otherwise a nice place though.,"This review is from the bottom of my heart.
My partner and I lived in this hotel for almost 3 months, so I am writing this review with special warmth, this hotel has become our home. From day one we were treated in the best possible way, all questions were dealt with quickly and professionally, the reception were so nice guys. We had a wonderful room at the very top, great size, just the right size to feel comfortable for such a long period of time. The location of the hotel is great, there is a lovely restaurant opposite, and also the autobahn is not far away for a quick getaway to anywhere in Bali without traffic jams. Guys, thank you for the warm welcome and wonderful time at your hotel! You stayed forever in my heart! ❤️ I think you realise who left this review 🥰","위치만 좋고 방은 넓직은 하나 더럽고 진짜 시끄러움..
Spacious room and good location, but room was not clean. We asked to change the room because it was too dirty and new room we got also dusty+ lots of mosquitoes ..also we were able to hear everything from outside and I even confused whether window was open.

Please clean the room properly and help with  mosquitoes","Location is really good, room is clean but bathroom had a smell so wher couldn't turn the lights off or the fan in the bathroom would stop working and the smell would get worse.
We didn't use the pool but it looked great and maintained.
Staff look professional and welcoming.
We wanted a massage but didn't manage to get one as the facility was closed every day.
Over all standard stay for 2 nights."
ChIJd04mxb9B0i0RlJglK8ACE5E,Ari Putri Hotel,-8.7072337,115.25808049999999,"77V5+464, Jl. Cemara, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80227, Indonesia",https://maps.google.com/?cid=10453702184437913748,OPERATIONAL,+62 361 286221,hotel,"hotel, lodging",4.2,567,,"Great little hotel at a very reasonable price. We got a standard room which was very comfortable only down side for me was not tea and coffee making facilities.
The pool and grounds are lovely and the included breakfast good.
Has a nice Warung attached to the hotel with live music (not loud).
Great location close to the beach and Warungs.",The husband and I stayed here in November 2022 and was a very nice leisurely stay. Pools crystal clear and peaceful. We had a room facing over other roof tops so not the best view but didn't spoil the stay. It is an older very balinese hotel and the breakfast is simple but different options and tasty. The rooms were a good size and clean and the little restaurant/ warung attached plays relaxing acoustic music of an evening and the food is probably one of the best satay chicken we've had in Bali. This time staying somewhere different in Sanur (always try different accommodation every visit) but made sure we came for food here. $4 aud for the meals. Would recommend here for a simple relaxing stay in the quiet end of town.,"Excellent value for money. Comfortable bed, quiet clean room with a lovely balcony, overall very peaceful. Great breakfast. For a 2 star hotel exceeded my expectations, I’d come back :)","The good:
The pool was nice and relaxing area.
The prices for drinks were very good and i like that tax is included in the menu. Food was average but good for the price. Nice musician in the evenings.
Hot water fir showers was good but took time to heat up.

HOWEVER: the bed was quiet springy and old.
Absolutely no hairdryer available the whole 3 night stay which is unacceptable.
No free refillable filtered water (hostel even provides this), you are given two tiny bottles on cleaning in the morning though.
There is no kettle in the room either.
Breakfast was average with not very nice coffee.

All in all, I expected more but it was okay","Overall okay. Nice area with good food and live music, short walk to the beach (about 10 min). The center of Sanur is a bit far.
The place feels old and lacks of charm. The towels are of not very good quality. The staff is nice but a bit disorganised and struggling to pass information about each other. Housekeeping was great though."
