id,name,latitude,longitude,address,url,status,phone,primary-type,rating,rating-count,price-level
ChIJYcGr7GSb0S0RckePBrCWikw,Singaraja Hotel (ex- POP! Hotel Hardys Singaraja Square),-8.1031373,115.0905138,"Jl. Surapati No.12 14, Kp. Baru, Kec. Buleleng, Kabupaten Buleleng, Bali 81113, Indonesia",https://maps.google.com/?cid=5515386376437057394,OPERATIONAL,+62 362 3301500,hotel,4.1,2581.0,PRICE_LEVEL_UNKNOWN
ChIJZbWX6Aia0S0R0tM3h1RZ1h8,Warung Bik Juk,-8.106188699999999,115.0899612,"Kampung Kajanan, Buleleng, Buleleng Regency, Bali 81113, Indonesia",https://maps.google.com/?cid=2294119279772554194,OPERATIONAL,+62 819-1566-2913,indonesian_restaurant,4.5,648.0,PRICE_LEVEL_MODERATE
ChIJYyHbhgia0S0RzdjNXLmcf54,Harbour Tourist Area of Buleleng,-8.1039305,115.0900307,"Jl. Pelabuhan Buleleng, Kp. Bugis, Kec. Buleleng, Kabupaten Buleleng, Bali 81113, Indonesia",https://maps.google.com/?cid=11421019499974744269,OPERATIONAL,+62 362 21342,tourist_attraction,4.3,2800.0,PRICE_LEVEL_UNKNOWN
ChIJ6zf9LJCb0S0RFv3BdLl61ZY,Abuela Coffee,-8.1047507,115.0879185,"Jl. Erlangga No.1, Kp. Bugis, Kec. Buleleng, Kabupaten Buleleng, Bali 81114, Indonesia",https://maps.google.com/?cid=10868728212674968854,OPERATIONAL,+62 858-5878-5361,coffee_shop,4.9,164.0,PRICE_LEVEL_UNKNOWN
ChIJ63FmGgaa0S0RWD5dfwhjGHQ,Ikan Bakar Tanjung Alam Dermaga,-8.1030868,115.0884262,"Kampung Bugis, Buleleng, Buleleng Regency, Bali 81114, Indonesia",https://maps.google.com/?cid=8365545195988401752,OPERATIONAL,+62 852-3771-1414,indonesian_restaurant,4.4,138.0,PRICE_LEVEL_MODERATE
ChIJAQAA5Aia0S0RBL27x0I5sHk,Warung Nasi Hadijah,-8.1060003,115.0899656,"V3VQ+HXW, Kampung Kajanan, Buleleng, Buleleng Regency, Bali 81113, Indonesia",https://maps.google.com/?cid=8768571433471950084,OPERATIONAL,+62 831-1989-6361,indonesian_restaurant,4.5,91.0,PRICE_LEVEL_UNKNOWN
ChIJA7v-3Qia0S0RdP8U7AQZBHE,Sate Plecing,-8.1064165,115.0895776,"Jl. Imam Bonjol Gang Mimbar No.1, Kp. Kajanan, Kec. Buleleng, Kabupaten Buleleng, Bali 81113, Indonesia",https://maps.google.com/?cid=8143661535124062068,OPERATIONAL,+62 362 21309,indonesian_restaurant,4.6,113.0,PRICE_LEVEL_UNKNOWN
ChIJnSg1VAia0S0R3r6ej3XRQ50,Warung Nasi NAZAR,-8.1053979,115.0905589,"Jl. Hasanudin No.52, Singaraja, Kec. Buleleng, Kabupaten Buleleng, Bali 81114, Indonesia",https://maps.google.com/?cid=11332131390245224158,OPERATIONAL,+62 823-4038-4338,restaurant,4.3,112.0,PRICE_LEVEL_INEXPENSIVE
ChIJL_GkVA-a0S0R6UJc7dfTH4A,Bali Intan Cafe,-8.1046345,115.0884933,"Singaraja, Jl. Erlangga No.11, Kp. Bugis, Kec. Buleleng, Kabupaten Buleleng, Bali 81115, Indonesia",https://maps.google.com/?cid=9232330685486482153,OPERATIONAL,+62 819-1561-0888,restaurant,4.9,53.0,PRICE_LEVEL_UNKNOWN
ChIJ7TPHe6iQ0S0RF0TOMAOX_xA,X-ecutive Karaoke,-8.103396499999999,115.0965225,"V3WW+JJR, Kampung Baru, Buleleng, Buleleng Regency, Bali 81114, Indonesia",https://maps.google.com/?cid=1224863663627584535,OPERATIONAL,+62 877-0100-0021,bar,4.1,67.0,PRICE_LEVEL_INEXPENSIVE
