id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJceyzwSc50i0ReLcmCNcCLIA,Monumen Perjuangan Bangsal Bali,-8.6109502,115.1756922,"Bangsal, Gaji, Jl. Raya Padang Luwih No.2, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia",https://maps.google.com/?cid=9235760058408023928,OPERATIONAL,,historical_landmark,"historical_landmark, tourist_attraction",4.5,485,
ChIJYRrdDic50i0RwSrolh5Gtgk,River Side Residence C 1,-8.611252499999999,115.1737158,"Jl. Raya Dalung No.48, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia",https://maps.google.com/?cid=699823889297451713,OPERATIONAL,+62 852-5911-5988,,lodging,4.5,138,
ChIJqfhKFT850i0RhFUHClXuKjc,Kriibo Dalung,-8.6090223,115.17245879999999,"Jl. Raya Dalung No.76, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia",https://maps.google.com/?cid=3975251670115767684,OPERATIONAL,+62 811-3867-603,coffee_shop,"coffee_shop, cafe, food, store",4.6,107,
ChIJ_6vHpI050i0RmsqBPxv1RDw,PERUM GARUDA KENCANA DALUNG,-8.6154542,115.17080650000001,"Jl. Garuda Kencana Utama No.2-7, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://maps.google.com/?cid=4342865438070393498,OPERATIONAL,,lodging,lodging,4.5,17,
ChIJL0WUutk40i0RH7CWK9x6Maw,Rumah kost di Dalung Bali,-8.615622799999999,115.17495819999999,"No.40 K, Gang 40 Jl. Raya Padang Luwih, Dalung, Kuta Utara, Badung Regency, Bali 80361, Indonesia",https://maps.google.com/?cid=12407833534425116703,OPERATIONAL,+62 878-6170-0022,extended_stay_hotel,"extended_stay_hotel, hotel, lodging",3.9,75,
ChIJi9zQoS050i0RfhXhBj672rg,Burger Bangor Dalung,-8.6120166,115.17586100000001,"Jl. Raya Padang Luwih No.6, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://maps.google.com/?cid=13320164722979444094,OPERATIONAL,+62 817-0003-373,hamburger_restaurant,"hamburger_restaurant, american_restaurant, restaurant, food",4.4,121,
ChIJXd9L-pU50i0RRP3f1fwxy7A,Hidden Kinou,-8.6112966,115.17572779999999,"Dibelakang Es Teh Indonesia, Jl. Raya Padang Luwih No.2, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia",https://maps.google.com/?cid=12739330932937325892,OPERATIONAL,+62 813-2111-1641,coffee_shop,"coffee_shop, cafe, food, store",4.7,102,
ChIJDXK9UuM50i0R5BGzhUCNgpE,Griya Cempaka Mas Guesthouse,-8.612725,115.1693317,"Puri Cempaka Mas Residence No.A18, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia",https://maps.google.com/?cid=10485098190732464612,OPERATIONAL,+62 895-3687-50334,guest_house,"guest_house, lodging",4.6,18,
ChIJbyWXTNk40i0RvbZmDr8jn5o,Padang Indah Guest House,-8.6166719,115.1712448,"Jl. Padang Indah No.99, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia",https://maps.google.com/?cid=11141663306625234621,OPERATIONAL,,lodging,lodging,4.6,49,
ChIJI0p_slo50i0RUecTz8QF47Q,Es Teh Indonesia - Dalung,-8.6113368,115.1758687,"Jl. Raya Padang Luwih No.2C, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia",https://maps.google.com/?cid=13034268089386264401,OPERATIONAL,+62 897-8752-888,cafe,"cafe, food",4.5,122,
ChIJuU1hJN840i0RDo3tfkUvQxQ,Bakso Roket Solo,-8.614815,115.17009099999999,"Jalan I Gusti Wayan Gentuh No.46 Dalung Kuta Utara, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://maps.google.com/?cid=1460062679726918926,OPERATIONAL,+62 852-3800-0872,indonesian_restaurant,"indonesian_restaurant, restaurant, food",4.4,150,PRICE_LEVEL_INEXPENSIVE
