id,name,latitude,longitude,address,url,status,phone,primary-type,types,rating,rating-count,price-level
ChIJq3QFpi1H0i0RbTsqQ0bHQRQ,Quest Hotel San Denpasar,-8.677235099999999,115.19046429999999,"Jl. Mahendradatta No.93, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia",https://maps.google.com/?cid=1459666858833230701,OPERATIONAL,+62 361 4717000,hotel,"hotel, convention_center, event_venue, lodging, restaurant, food",4.5,5435,
ChIJ1Zp1kiFB0i0RtT6VZoLSUFA,Aralea CoLiving,-8.6772472,115.19581539999999,"XXI, Jl. Marlboro, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://maps.google.com/?cid=5787356978679725749,OPERATIONAL,,hotel,"hotel, lodging",4.8,142,
ChIJec80g_BB0i0R8Pq69_wEYZk,Tintin Coliving,-8.673356199999999,115.1940423,"Jl. Lange V No.189, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://maps.google.com/?cid=11052120445078403824,OPERATIONAL,+62 812-4567-8159,guest_house,"guest_house, lodging",4.8,106,
ChIJOcdE581A0i0R14GzZka54ZY,Dee Mansion,-8.6780142,115.19206709999999,"Jl. Pura Demak IV No.57, Tegal Harum, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://maps.google.com/?cid=10872174687470977495,OPERATIONAL,+62 361 8495358,hotel,"hotel, lodging",4.2,474,
ChIJiRSMhmNB0i0R_1PQuctGP8M,WISTARA FAMILY CAFE,-8.6788092,115.19009240000001,"Jl. Mahendradatta Selatan No.9, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80114, Indonesia",https://maps.google.com/?cid=14069041601738462207,OPERATIONAL,+62 821-4433-1116,restaurant,"restaurant, cafe, indonesian_restaurant, food",4.4,698,PRICE_LEVEL_MODERATE
ChIJkeWs0cxA0i0RRNHfpqcHP2M,Cove Kanaya,-8.679152799999999,115.1894715,"Jl. Pura Banyu Kuning No.1A, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia",https://maps.google.com/?cid=7151443149928255812,OPERATIONAL,,guest_house,"guest_house, lodging",4.1,69,
ChIJC_z2tDRH0i0RHnmxHkDZ85c,Sasmara Apartment,-8.6758389,115.18878149999999,"Jl. Pura Banyu Kuning I No.9, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://maps.google.com/?cid=10949333988483889438,OPERATIONAL,+62 817-9919-899,guest_house,"guest_house, lodging",4.6,152,
ChIJHQabjYlB0i0RtjfRXxbPWdg,Jonkira Ramen Halal Bali,-8.6785941,115.193202,"Jl. Pura Demak No.34, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://maps.google.com/?cid=15589719280123459510,OPERATIONAL,+62 822-2988-0838,japanese_restaurant,"japanese_restaurant, restaurant, food",4.4,264,
ChIJsTpwrM5A0i0RXn_rL2V80gA,I Love Grass,-8.676941099999999,115.1952583,"Jl. Pura Demak No.77, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://maps.google.com/?cid=59246519146741598,OPERATIONAL,+62 813-3793-0280,hotel,"hotel, lodging",4.4,135,
ChIJ8c-xTDNH0i0ROPPgPm3SXEk,RAIN Residence,-8.678062599999999,115.1888328,"Jl. Pura Banyu Kuning Mahendradata, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80115, Indonesia",https://maps.google.com/?cid=5286331429274317624,OPERATIONAL,+62 896-5249-1110,,lodging,4,25,
